title,score.value,decision,score.justification
Lipid and metabolic syndrome traits in coronary artery disease: a Mendelian randomization study,-3,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and no European ancestry terms are found."
"Association of Smoking, Alcohol Consumption, Blood Pressure, Body Mass Index, and Glycemic Risk Factors With Age-Related Macular Degeneration: A Mendelian Randomization Study",-1,Excluded,"BMI is a main exposure variable, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and no European ancestry terms are found."
Relation of age-related cataract with obesity and obesity genes in an Asian population,-2,Excluded,"BMI is present but not as a main exposure, only as a covariate. Mendelian randomisation is present. Blood pressure is mentioned but not as the main outcome. No European ancestry terms are present."
Genetically predicted testosterone and cardiovascular risk factors in men: a Mendelian randomization analysis in the Guangzhou Biobank Cohort Study,-2,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and there is no mention of European ancestry."
Robust inference of bi-directional causal relationships in presence of correlated pleiotropy with GWAS summary data,-2,Excluded,"BMI is mentioned but not as a main exposure, Mendelian randomisation is present, blood pressure is mentioned but not as a main outcome, and no European ancestry terms are found."
Cardiometabolic traits mediating the effect of education on osteoarthritis risk: a Mendelian randomization study,0,Excluded,BMI is studied as a main exposure affecting osteoarthritis risk. Blood pressure is mentioned but not as a main outcome. Mendelian randomisation is clearly present in both title and abstract. European ancestry is indicated by the mention of UK Biobank.
"Birth weight, childhood obesity and risk of hypertension: a Mendelian randomization study",2,Excluded,"Childhood body mass index is studied as a main exposure to essential hypertension, which is the main outcome. Mendelian randomisation is present in both title and abstract. European ancestry is indicated by mention of the UK Biobank, but it's not explicitly stated as European or white ancestry."
Shared genetic components between metabolic syndrome and schizophrenia: Genetic correlation using multipopulation data sets,-1,Excluded,"BMI is present but not as a main exposure, blood pressure terms are present but not as a main outcome, Mendelian randomisation and European ancestry are present."
Factorial Mendelian randomization: using genetic variants to assess interactions,2,Excluded,"BMI is studied as a main exposure for blood pressure, which is the main outcome. Mendelian randomization is present in both title and abstract. European ancestry is mentioned (UK Biobank), but not explicitly as European or white ancestry, hence the deduction."
Is aldehyde dehydrogenase 2 a credible genetic instrument for alcohol use in Mendelian randomization analysis in Southern Chinese men?,-3,Excluded,BMI is present but not as a main exposure. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present but not as the main outcome. No European ancestry terms are found.
"The role of obesity, type 2 diabetes, and metabolic factors in gout: A Mendelian randomization study",2,Excluded,"BMI/adiposity is studied as a main exposure to blood pressure, which is the main outcome. Mendelian randomisation is present and European ancestry is mentioned, but not as the main focus."
Does high C-reactive protein concentration increase atherosclerosis? The Whitehall II Study,-1,Excluded,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in the abstract, scoring +1. No blood pressure terms are mentioned, scoring -2. European ancestry is indicated by 'the Whitehall II Study', scoring +1."
Obesity and ischemic heart disease: defining the link,-6,Excluded,"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, or European ancestry were found in the title or abstract. BMI/adiposity is not studied as a main exposure to blood pressure, which is also not present as a main outcome. The absence of all key terms results in a negative score."
Lack of association between modifiable exposures and glioma risk: a Mendelian randomization analysis,-3,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as main outcome, and no European ancestry terms are found."
A two-sample Mendelian randomization analysis of modifiable risk factors and intracranial aneurysms,-1,Excluded,"BMI/adiposity is present but not as the main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present as the main outcome, adding 1 point. European ancestry is absent, deducting 2 points."
Alcohol use and cardiometabolic risk in the UK Biobank: A Mendelian randomization study,0,Excluded,"BMI is present but not as a main exposure, only mitigating the effect of alcohol on type 2 diabetes. Blood pressure is studied as a main outcome. Mendelian randomisation is present in both title and abstract. European ancestry is indicated by the mention of 'UK Biobank'."
Assessment of the Causal Effects of Obstructive Sleep Apnea on Atrial Fibrillation: A Mendelian Randomization Study,0,Excluded,"BMI is present but not as a main exposure, it is adjusted for in the analysis. Blood pressure (hypertension) is mentioned but not as the main outcome. Mendelian randomisation is clearly present and relevant. Finnish ancestry indicates European ancestry."
Validation of external and internal exposome of the findings associated to cerebral small vessel disease: A Mendelian randomization study,-1,Excluded,"Adiposity is present but not as the main exposure, Mendelian randomisation is present, hypertension is studied as a main outcome, and no European ancestry terms are present."
"Causal Factors for Knee, Hip, and Hand Osteoarthritis: A Mendelian Randomization Study in the UK Biobank",0,Excluded,"BMI is studied as a main exposure for osteoarthritis, Mendelian randomisation is present, blood pressure is not the main outcome, and the study involves a European population (UK Biobank)."
Associations of Circulating Protein Levels With Lipid Fractions in the General Population,-1,Excluded,"BMI is present but not as a main exposure, Mendelian randomization is present, blood pressure terms are present but not as a main outcome, and European ancestry is mentioned."
Exploring the relationship between maternal iron status and offspring's blood pressure and adiposity: a Mendelian randomization study,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as the main outcome, scoring +1. European ancestry is present through the mention of the UK Women's Cohort Study, scoring +1."
Genetically predicted 17beta-estradiol and cardiovascular risk factors in women: a Mendelian randomization analysis using young women in Hong Kong and older women in the Guangzhou Biobank Cohort Study,-1,Excluded,"BMI/adiposity is present but not as the main exposure, leading to a -1 score. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and are the main outcome, scoring +1. No European ancestry terms are found, resulting in a -2 score."
Investigating the causal effect of fibroblast growth factor 23 on osteoporosis and cardiometabolic disorders: A Mendelian randomization study,-2,Excluded,"BMI is present but not as the main exposure, only as a covariate in multivariable analysis. Mendelian randomisation is clearly present in both title and abstract. Blood pressure terms are mentioned but not as the main outcome. No European ancestry terms are found."
"Molecular sources of residual cardiovascular risk, clinical signals, and innovative solutions: relationship with subclinical disease, undertreatment, and poor adherence: implications of new evidence upon optimizing cardiovascular patient outcomes",-2,Excluded,BMI/adiposity is mentioned ('body weight') but not as a main exposure. Mendelian randomisation is present. Hypertension is mentioned but not as the main outcome. No European ancestry terms are present.
Cardiometabolic Polygenic Risk Scores and Osteoarthritis Outcomes: A Mendelian Randomization Study Using Data From the Malmo Diet and Cancer Study and the UK Biobank,0,Excluded,BMI is studied as a main exposure for osteoarthritis outcomes. Mendelian randomisation is present in both title and abstract. Blood pressure is mentioned but not as a main outcome. European ancestry is indicated by references to the UK Biobank and Malmo Diet and Cancer Study.
Association of cannabis use disorder with cardiovascular diseases: A two-sample Mendelian randomization study,-2,Excluded,"BMI is present but not as a main exposure, only as a mediator. Mendelian randomisation is present in both title and abstract. Hypertension is mentioned but not as a main outcome, rather as a mediator. No European ancestry terms are found."
Timing of Pubertal Development and Midlife Blood Pressure in Men and Women: A Mendelian Randomization Study,0,Excluded,"BMI is present but not as a main exposure, it is adjusted for as a covariate. Blood pressure terms are the main outcome of the study. Mendelian randomisation is present in both the title and abstract. European ancestry is indicated by the mention of the UK Biobank."
Effect of Cheese Intake on Cardiovascular Diseases and Cardiovascular Biomarkers,-1,Excluded,"BMI is present but not as a main exposure, reducing its score. Mendelian randomisation is present, adding a point. Blood pressure terms are present and studied as the main outcome, adding a point. No European ancestry terms are present, reducing the score."
Genetic evidence for a causal relationship between type 2 diabetes and peripheral artery disease in both Europeans and East Asians,-1,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation and European ancestry are present, and blood pressure terms are present but not as the main outcome."
Mendelian randomization analysis does not support causal associations of birth weight with hypertension risk and blood pressure in adulthood,-1,Excluded,"BMI/adiposity terms are absent, thus scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure terms are present and are the main outcome, scoring 1. European ancestry is indicated by the mention of UK Biobank, scoring 1."
"Genome-Wide Association Analysis of Over 170,000 Individuals from the UK Biobank Identifies Seven Loci Associated with Dietary Approaches to Stop Hypertension (DASH) Diet",-1,Excluded,"BMI is present but not as a main exposure, it's implicated in genetic correlation analysis. Mendelian randomisation is present in the analysis. Blood pressure terms are present but not as the main outcome, rather they are part of the study's dietary focus. European ancestry is indicated by the study population (UK Biobank)."
A multi-population phenome-wide association study of genetically-predicted height in the Million Veteran Program,-1,Excluded,"BMI/adiposity is present but not as the main exposure, leading to a -1 score. Mendelian randomisation is present, scoring +1. Blood pressure terms are present but not as the main outcome, resulting in -1. European ancestry is present, scoring +1."
The association between cardiovascular risk factors and major cardiovascular diseases decreases with increasing frailty levels in geriatric outpatients,-3,Excluded,"BMI/adiposity is absent, not studied as an exposure. Blood pressure terms are present but not as the main outcome. Mendelian randomisation is mentioned in the abstract. No European ancestry terms are present."
Genetic Determinants of Body Mass Index and Fasting Glucose Are Mediators of Grade 1 Diastolic Dysfunction,0,Excluded,"BMI is studied as a main exposure variable for G1DD, Mendelian randomization is present, blood pressure terms are present but not as the main outcome, and European ancestry is explicitly mentioned."
Cardiovascular risk factors and lifestyle behaviours in relation to longevity: a Mendelian randomization study,-1,Excluded,"BMI is present but not as the main exposure, thus scoring -1. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure terms are present and studied as the main outcome, scoring 1. No European ancestry terms are present, scoring -2."
Mendelian Randomization Analyses Suggest Childhood Body Size Indirectly Influences End Points From Across the Cardiovascular Disease Spectrum Through Adult Body Size,0,Excluded,"BMI/adiposity is present as a main exposure in the abstract, Mendelian randomisation is present in both title and abstract, hypertension is present as a main outcome in the abstract, and no European ancestry terms are found."
Maternal Hypertension Increases Risk of Preeclampsia and Low Fetal Birthweight: Genetic Evidence From a Mendelian Randomization Study,2,Excluded,"BMI is studied as a main exposure for blood pressure outcomes. Blood pressure terms are present and studied as main outcomes. Mendelian randomisation is present in both title and abstract. European ancestry is mentioned, but the context does not specify it as a focus, hence the deduction."
"MR-PheWAS: hypothesis prioritization among potential causal effects of body mass index on many outcomes, using Mendelian randomization",-1,Excluded,"BMI is studied as the main exposure in relation to various outcomes, including blood pressure, but blood pressure is not the main outcome. Mendelian randomization is present in the title. No European ancestry terms are mentioned."
Causal Effects of Overall and Abdominal Obesity on Insulin Resistance and the Risk of Type 2 Diabetes Mellitus: A Two-Sample Mendelian Randomization Study,-1,Excluded,"BMI/adiposity is studied as a main exposure for insulin resistance and T2DM risk, earning +1. Mendelian randomisation is present in both title and abstract, earning +1. Blood pressure terms are present but not as the main outcome, resulting in -1. No European ancestry terms are found, resulting in -2."
Trans-ethnic Mendelian-randomization study reveals causal relationships between cardiometabolic factors and chronic kidney disease,2,Excluded,"BMI is studied as a main exposure for CKD, blood pressure terms are studied as main outcomes, Mendelian randomisation is present, and European ancestry is explicitly mentioned."
Appraising the Effect of Potential Risk Factors on Thyroid Cancer: A Mendelian Randomization Study,-1,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, hence +1. Blood pressure terms are present but not as the main outcome, hence -1. European ancestry is present, hence +1."
Blood pressure and risk of cancer: a Mendelian randomization study,0,Excluded,"BMI is present but not as a main exposure, hence -1. Blood pressure terms are the main outcome, scoring +1. Mendelian randomisation is present, scoring +1. European ancestry is indicated by 'UK Biobank', scoring +1. Total score is 0 after summing individual scores."
"Roles of Cardiometabolic Factors in Mediating the Causal Effect of Type 2 Diabetes on Cardiovascular Diseases: A Two-Step, Two-Sample Multivariable Mendelian Randomization Study",-3,Excluded,"BMI is present but not as the main exposure, it is studied as a mediator. Blood pressure terms are present but studied as mediators, not as main outcomes. Mendelian randomisation is present in both title and abstract. No European ancestry terms are found."
Accelerated MRI-predicted brain ageing and its associations with cardiometabolic and brain disorders,-1,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is absent, blood pressure terms are present as outcomes, and European ancestry is indicated by 'UK Biobank'."
Association between alcohol and cardiovascular disease: Mendelian randomisation analysis based on individual participant data,-1,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Blood pressure terms are present but not as the main outcome, hence -1. Mendelian randomisation and European ancestry are both present, each contributing +1 to the score."
The Association of Obstructive Sleep Apnea With Breast Cancer Incidence and Mortality: A Systematic Review and Meta-analysis,-2,Excluded,BMI/adiposity is present as 'obesity' but not as the main exposure. Mendelian randomisation is present. Blood pressure terms are present as 'hypertension' but not as the main outcome. European ancestry is not mentioned.
Causal associations of tobacco smoking with cardiovascular risk factors: a Mendelian randomization analysis of the HUNT Study in Norway,-1,Excluded,"BMI is present but not as the main exposure, blood pressure terms are present but not as the main outcome, Mendelian randomisation and European ancestry are both present."
"Blood Eosinophil Count and Metabolic, Cardiac and Pulmonary Outcomes: A Mendelian Randomization Study",-1,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are absent, scoring -2. European ancestry is present, scoring +1."
Risk of lower respiratory tract infections: a genome-wide association study with Mendelian randomization analysis in three independent European populations,2,Excluded,"BMI is studied as a main exposure to blood pressure, which is the main outcome. Mendelian randomisation is present. European ancestry is mentioned, but only in the context of the study population, not as a genetic or risk factor focus."
Associations of genetically predicted IL-6 signaling with cardiovascular disease risk across population subgroups,-1,Excluded,"BMI is present but not as a main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are present but not as a main outcome, thus -1. European ancestry is present, thus +1. Total score calculated as -1."
Genetically predicted higher educational attainment decreases the risk of stroke: a multivariable Mendelian randomization study,-1,Excluded,"BMI is present but not as the main exposure, it is adjusted along with other factors. Blood pressure is mentioned as hypertension but not as the main outcome, it is also adjusted. Mendelian randomisation is present in both the title and abstract. European ancestry is confirmed with the mention of 'European descent'."
Genetically determined intelligence and coronary artery disease risk,-3,Excluded,"BMI is present but not as a main exposure, Mendelian randomization is present, hypertension is mentioned but not as a main outcome, and no European ancestry terms are found."
"Relative Deprivation, Income Inequality, and Cardiovascular Health: Observational and Mendelian Randomization Studies in Hong Kong Chinese",-1,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present as the main outcome, and there is no mention of European ancestry."
Does greater adiposity increase blood pressure and hypertension risk?: Mendelian randomization using the FTO/MC4R genotype,2,Excluded,"BMI/adiposity is studied as the main exposure for blood pressure outcomes. Mendelian randomisation is present and used in the analysis. Blood pressure terms are present and studied as the main outcome. European ancestry is mentioned, but only as a location, not explicitly as European/white/caucasian ancestry."
Genome-wide association and Mendelian randomisation analysis provide insights into the pathogenesis of heart failure,0,Excluded,"BMI is studied as a main exposure for heart failure, Mendelian randomisation is present, hypertension is studied as a main outcome, but there is no mention of European ancestry."
Association between bilirubin and cardiovascular disease risk factors: using Mendelian randomization to assess causal inference,-2,Excluded,"BMI/adiposity is present but not as the main exposure, leading to -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 points. European ancestry is absent, deducting 2 points."
Association between adiposity and cardiovascular outcomes: an umbrella review and meta-analysis of observational and Mendelian randomization studies,2,Excluded,"BMI/adiposity is studied as the main exposure for cardiovascular outcomes, including blood pressure as a main outcome. Mendelian randomisation is present and contributes positively. European ancestry is mentioned, but only in the context of the publishing society, not the population studied."
Cognitive ability and physical health: a Mendelian randomization study,-1,Excluded,"BMI is present but not as a main exposure, resulting in -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present but not as the main outcome, scoring -1. European ancestry is indicated by 'UK Biobank', scoring +1."
Genetic determinants of daytime napping and effects on cardiometabolic health,0,Excluded,"Waist circumference is mentioned as part of the outcomes linked with daytime napping, not as a main exposure. Mendelian randomization is present and used to establish causality. Blood pressure is studied as a main outcome. The UK Biobank indicates European ancestry."
"Avoiding dynastic, assortative mating, and population stratification biases in Mendelian randomization through within-family analyses",2,Excluded,"BMI is studied as a main exposure for blood pressure outcomes. Mendelian randomisation is present in both title and abstract. Blood pressure is studied as a main outcome. European ancestry is mentioned, but the term 'UK Biobank' does not explicitly confirm European ancestry, leading to a deduction."
From the Editor,-6,Excluded,"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, or European ancestry were mentioned in the title or abstract, leading to negative scores in all categories."
Multiple genetic variants explain measurable variance in type 2 diabetes-related traits in Pakistanis,-1,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation and European ancestry are present, blood pressure terms are present but not as the main outcome."
Genetically Predicted Obesity Causally Increased the Risk of Hypertension Disorders in Pregnancy,2,Excluded,"BMI/adiposity (obesity) is the main exposure studied for its causal effect on hypertension disorders, which are the main outcome. Mendelian randomisation is present and used in the study. European ancestry is indicated by the mention of the FinnGen consortium, which is Finnish, but not explicitly stated as European or white ancestry."
"Adult height, coronary heart disease and stroke: a multi-locus Mendelian randomization meta-analysis",-2,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and European ancestry is absent."
Correcting the Standard Errors of 2-Stage Residual Inclusion Estimators for Mendelian Randomization Studies,-4,Excluded,"BMI/adiposity is not mentioned, thus not a main exposure. Mendelian randomisation is present in both title and abstract. No blood pressure terms or European ancestry terms are mentioned."
Novel loci for childhood body mass index and shared heritability with adult cardiometabolic traits,-5,Excluded,"BMI is present but not as the main exposure variable, Mendelian randomisation and European ancestry terms are absent, and blood pressure terms are present but not as the main outcome."
Comprehensive Investigation of Circulating Biomarkers and Their Causal Role in Atherosclerosis-Related Risk Factors and Clinical Events,-1,Excluded,"BMI/adiposity is present but not as a main exposure, hence -1. Blood pressure terms are present but not as the main outcome, hence -1. Mendelian randomisation is present, hence +1. European ancestry is indicated by 'UK Biobank', hence +1."
Epigenetic loci for blood pressure are associated with hypertensive target organ damage in older African Americans from the genetic epidemiology network of Arteriopathy (GENOA) study,-1,Excluded,"BMI is present but not as the main exposure, only as an adjustment factor in the analysis. Mendelian randomization is present in the abstract. Blood pressure is the main outcome as indicated in both the title and abstract. No European ancestry or related terms are mentioned."
Mendelian Randomization Study of Obesity and Cerebrovascular Disease,-3,Excluded,"BMI is present but not as the main exposure, only as a covariate. Mendelian randomisation is clearly present in both title and abstract. Blood pressure terms are present but not as the main outcome, only as a mediator. No European ancestry terms are found."
Detecting and correcting for bias in Mendelian randomization analyses using Gene-by-Environment interactions,2,Excluded,"BMI is studied as a main exposure variable for blood pressure outcomes, specifically systolic blood pressure. Mendelian randomisation is present in both the title and abstract. Blood pressure is the main outcome studied. European ancestry is indicated by the mention of the UK Biobank, but it does not explicitly confirm the population is European or Caucasian, hence the negative score for European ancestry."
Comorbidities in gout and hyperuricemia: causality or epiphenomena?,-1,Excluded,"BMI is identified as a main exposure affecting serum urate, thus scoring +1. Mendelian randomization is present in the abstract, scoring +1. Hypertension is mentioned but not as the main outcome, scoring -1. No European ancestry terms are found, scoring -2."
Body mass index and body composition in relation to 14 cardiovascular conditions in UK Biobank: a Mendelian randomization study,2,Excluded,"BMI/adiposity is the main exposure studied for its effects on blood pressure and other cardiovascular conditions. Mendelian randomisation is present and used in the study. Blood pressure is a main outcome, specifically arterial hypertension. European ancestry is indicated by the study population (UK Biobank), but 'UK Biobank' does not explicitly confirm European ancestry, hence the deduction."
Vitamin D and heart failure: A two-sample mendelian randomization study,-3,Excluded,"BMI is present but not as a main exposure, only as a covariate in multivariable MR. Mendelian randomisation is clearly present in both title and abstract. Hypertension is mentioned but not as the main outcome, rather as a covariate. No European ancestry terms are found."
Association of genetically predicted blood sucrose with coronary heart disease and its risk factors in Mendelian randomization,-3,Excluded,"BMI/adiposity is mentioned but not as a main exposure, hence -1. Mendelian randomisation is present in both title and abstract, hence +1. Blood pressure is mentioned but not as the main outcome, hence -1. No European ancestry terms are present, hence -2."
A genetic risk score for fasting plasma glucose is independently associated with arterial stiffness: a Mendelian randomization study,-1,Excluded,"BMI/adiposity is present but not as the main exposure, thus scoring -1. Mendelian randomisation is present, scoring 1. Blood pressure terms are present but not as the main outcome, scoring -1. European ancestry is mentioned (Sweden), scoring 1."
Nonalcoholic fatty liver disease or metabolic dysfunction-associated fatty liver disease diagnoses and cardiovascular diseases: From epidemiology to drug approaches,-1,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present but not as the main outcome, scoring -1. European ancestry is present, scoring +1. Total score is calculated as -1."
Alcohol consumption and cognitive impairment in older men: a mendelian randomization study,-2,Excluded,"BMI is present but not as the main exposure, Mendelian randomisation is present, hypertension is mentioned but not as the main outcome, and there is no mention of European ancestry."
Risk factors for type 2 diabetes mellitus: An exposure-wide umbrella review of meta-analyses,-3,Excluded,"Adiposity is mentioned but not as a main exposure, Mendelian randomization is present, high systolic blood pressure is mentioned but not as a main outcome, and no European ancestry terms are found."
"Cardiometabolic, Lifestyle, and Nutritional Factors in Relation to Varicose Veins: A Mendelian Randomization Study",1,Excluded,"BMI is studied as a main exposure for varicose veins, Mendelian randomisation is present in both title and abstract, blood pressure terms are present but not as the main outcome, and European ancestry is indicated by mentions of UK Biobank and FinnGen consortium."
Type 2 diabetes mellitus increases risk of erectile dysfunction independent of obesity and dyslipidemia: A Mendelian randomization study,-1,Excluded,"BMI is present but not as the main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and European ancestry is present."
Influence of puberty timing on adiposity and cardiometabolic traits: A Mendelian randomisation study,2,Excluded,"BMI/adiposity is studied as a main exposure variable. Mendelian randomisation is present and relevant to the study. Blood pressure terms are present and studied as a main outcome. European ancestry is mentioned, but the study explicitly states a lack of inference to non-white-European populations, which impacts the relevance score negatively."
Excessive alcohol consumption increases mortality in later life: a genetic analysis of the health in men cohort study,-3,Excluded,BMI is present but not as a main exposure. No evidence of Mendelian randomisation or European ancestry. Blood pressure is mentioned but not as the main outcome.
Deciphering the Plasma Proteome of Type 2 Diabetes,-1,Excluded,"BMI is mentioned but not as the main exposure, it is adjusted for in logistic regression models. Blood pressure is mentioned as hypertension but not as the main outcome. Mendelian randomization is present and discussed in the context of causal effects. European ancestry is indicated by the mention of the KORA and HUNT3 cohorts."
New strategies for the development of lipid-lowering therapies to reduce cardiovascular risk,-1,Excluded,"BMI/adiposity terms are absent, thus scoring -2. Mendelian randomisation is present, scoring +1. Blood pressure terms are present but not as the main outcome, scoring -1. European ancestry is mentioned, scoring +1."
Genetically modulated educational attainment and coronary disease risk,-1,Excluded,"BMI is present but not as the main exposure, it is adjusted for in the model. Blood pressure is present but not as the main outcome. Mendelian randomisation and European ancestry are both present."
Cardiometabolic risks of SARS-CoV-2 hospitalization using Mendelian Randomization,-1,Excluded,"BMI is present but not as the main exposure, hence -1. Blood pressure terms are present but not as the main outcome, hence -1. Mendelian randomisation is present, scoring +1. European ancestry is mentioned, scoring +1."
Causal association between adiposity and cardiovascular disease,-3,Excluded,"Adiposity is present in the title and is the main exposure variable for the study. Mendelian randomisation, blood pressure terms, and European ancestry are not mentioned in the title or abstract."
Mendelian randomization provides support for obesity as a risk factor for meningioma,-1,Excluded,"BMI/adiposity is present and studied as a main exposure to meningioma risk, earning +1 point. Mendelian randomisation is present in both title and abstract, earning +1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 point. No European ancestry terms are found, resulting in -2 points."
Semiparametric methods for estimation of a nonlinear exposure-outcome relationship using instrumental variables with application to Mendelian randomization,0,Excluded,"BMI is studied as the main exposure variable for blood pressure outcomes, which are the main outcomes. Mendelian randomization is present in both title and abstract. No European ancestry terms are found."
Midlife vascular risk factors and risk of incident dementia: Longitudinal cohort and Mendelian randomization analyses in the UK Biobank,0,Excluded,"BMI/adiposity is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are present and studied as the main outcome, thus +1. European ancestry is indicated by 'UK Biobank', thus +1."
Contribution of genetics to visceral adiposity and its relation to cardiovascular and metabolic disease,2,Excluded,"BMI/adiposity is studied as a main exposure for cardiovascular and metabolic diseases. Mendelian randomisation is present and used to establish causality. Blood pressure term 'hypertension' is present and studied as an outcome. European ancestry is mentioned, but only in a specific subgroup (Caucasian females), not broadly across the study population."
Causal inference for heritable phenotypic risk factors using heterogeneous genetic instruments,-1,Excluded,"BMI is studied as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and there is no mention of European ancestry."
"Urinary Albumin, Sodium, and Potassium and Cardiovascular Outcomes in the UK Biobank: Observational and Mendelian Randomization Analyses",0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is clearly present, scoring +1. Blood pressure is studied as the main outcome, scoring +1. The study involves the UK Biobank, indicating European ancestry, scoring +1."
Associations between Potentially Modifiable Risk Factors and Alzheimer Disease: A Mendelian Randomization Study,-1,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present and studied as the main outcome, and there is no mention of European ancestry."
Duration of obesity exposure between ages 10 and 40 years and its relationship with cardiometabolic disease risk factors: A cohort study,0,Excluded,BMI is studied as a main exposure to cardiometabolic disease risk factors. Mendelian randomisation is mentioned as a method for further validation. Blood pressure terms are present but not as the main outcome. European ancestry is specified as 'white British'.
Assessment of causality between modifiable factors and heart failure: A Mendelian randomization analysis,-1,Excluded,"Adiposity is mentioned but not as a main exposure, Mendelian randomisation is present, systolic blood pressure is studied as a main outcome, and no European ancestry terms are mentioned."
The causal effect of vitamin D binding protein (DBP) levels on calcemic and cardiometabolic diseases: a Mendelian randomization study,-1,Excluded,"BMI/adiposity is present but not as the main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present and studied as the main outcome, adding 1 point. European ancestry is absent, resulting in -2 points."
Mendelian randomization studies in coronary artery disease,-1,Excluded,"BMI/adiposity is mentioned as 'obesity' but not as a main exposure. Blood pressure is mentioned as 'hypertension' but not as the main outcome. Mendelian randomisation is present in both title and abstract. European ancestry is mentioned, referring to the European Society of Cardiology."
Diabetes and branched-chain amino acids: What is the link?,-1,Excluded,"BMI/adiposity is present but not as the main exposure, leading to a -1 score. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 point. European ancestry is mentioned, adding 1 point."
Feasibility of a Risk-Based Approach to Cataract Surgery Preoperative Medical Evaluation,-6,Excluded,"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, or European ancestry were found in the title or abstract. BMI/adiposity is not mentioned, thus not a main exposure. Blood pressure is not mentioned as an outcome. No relevant terms for Mendelian randomisation or European ancestry are present."
The causal effects of health conditions and risk factors on social and socioeconomic outcomes: Mendelian randomization in UK Biobank,0,Excluded,BMI is studied as a main exposure affecting socioeconomic outcomes. Mendelian randomization is present in both title and abstract. Blood pressure is present but not as the main outcome. European ancestry is specified as White British.
